"Messstellennummer";"Messstellenbezeichnung";"Datum";"Abfluss in m³/s"
2377050700;Siebeldingen Queich;22.2.2020;2.2659
2377050700;Siebeldingen Queich;23.2.2020;2.4268
2377050700;Siebeldingen Queich;24.2.2020;2.9124
2377050700;Siebeldingen Queich;25.2.2020;3.2418
2377050700;Siebeldingen Queich;26.2.2020;3.294
2377050700;Siebeldingen Queich;27.2.2020;3.3174
2377050700;Siebeldingen Queich;28.2.2020;4.0841
2377050700;Siebeldingen Queich;29.2.2020;3.9516
2377050700;Siebeldingen Queich;1.3.2020;3.9111
2377050700;Siebeldingen Queich;2.3.2020;4.6856
2377050700;Siebeldingen Queich;3.3.2020;4.6577
2377050700;Siebeldingen Queich;4.3.2020;3.7615
2377050700;Siebeldingen Queich;5.3.2020;5.0526
2377050700;Siebeldingen Queich;6.3.2020;6.7617
2377050700;Siebeldingen Queich;7.3.2020;4.9689
2377050700;Siebeldingen Queich;8.3.2020;4.4668
2377050700;Siebeldingen Queich;9.3.2020;4.667
2377050700;Siebeldingen Queich;10.3.2020;5.2378
2377050700;Siebeldingen Queich;11.3.2020;5.2418
2377050700;Siebeldingen Queich;12.3.2020;4.7409
2377050700;Siebeldingen Queich;13.3.2020;4.5109
2377050700;Siebeldingen Queich;14.3.2020;4.1312
2377050700;Siebeldingen Queich;15.3.2020;3.9629
2377050700;Siebeldingen Queich;16.3.2020;3.8397
2377050700;Siebeldingen Queich;17.3.2020;3.4668
2377050700;Siebeldingen Queich;18.3.2020;3.2555
2377050700;Siebeldingen Queich;19.3.2020;3.2129
2377050700;Siebeldingen Queich;20.3.2020;3.144
2377050700;Siebeldingen Queich;21.3.2020;3.8029
2377050700;Siebeldingen Queich;22.3.2020;3.3494
2377050700;Siebeldingen Queich;23.3.2020;2.8532
2377050700;Siebeldingen Queich;24.3.2020;2.6669
2377050700;Siebeldingen Queich;25.3.2020;2.6196
2377050700;Siebeldingen Queich;26.3.2020;2.5916
2377050700;Siebeldingen Queich;27.3.2020;2.5274
2377050700;Siebeldingen Queich;28.3.2020;2.4345
2377050700;Siebeldingen Queich;29.3.2020;2.3066
2377050700;Siebeldingen Queich;30.3.2020;2.1692
2377050700;Siebeldingen Queich;31.3.2020;2.1279
2377050700;Siebeldingen Queich;1.4.2020;2.0807
2377050700;Siebeldingen Queich;2.4.2020;2.1098
2377050700;Siebeldingen Queich;3.4.2020;2.0663
2377050700;Siebeldingen Queich;4.4.2020;1.9256
2377050700;Siebeldingen Queich;5.4.2020;1.8453
2377050700;Siebeldingen Queich;6.4.2020;1.8236
2377050700;Siebeldingen Queich;7.4.2020;1.745
2377050700;Siebeldingen Queich;8.4.2020;1.7129
2377050700;Siebeldingen Queich;9.4.2020;1.6857
2377050700;Siebeldingen Queich;10.4.2020;1.6704
2377050700;Siebeldingen Queich;11.4.2020;1.6851
2377050700;Siebeldingen Queich;12.4.2020;1.6791
2377050700;Siebeldingen Queich;13.4.2020;1.6656
2377050700;Siebeldingen Queich;14.4.2020;1.5772
